#The first 4 lines after the blank line are the polarizability tensors given in a.u., however, these lines can be
#left blank, and the user can only give the lines 6-9. These lines are for the polarizability tensors given in
#Angstrom^3: consisting of a header line (can also be a blank line), and three lines for different components
#of the polarizability tensor (indicated with the labels in the first column). The unit is Angstrom^3. The tensors are appended
#for all displaced structures.

         POLARIZABILITY TENSOR (atomic units):
         xx,yy,zz        8.36517        6.87187        5.33604
         xy,xz,yz       -0.00939       -0.00000       -0.00000
         yx,zx,zy       -0.00818       -0.00000        0.00001
         POLARIZABILITY TENSOR (Angstrom^3):
         xx,yy,zz        1.23959        1.01831        0.79072
         xy,xz,yz       -0.00139       -0.00000       -0.00000
         yx,zx,zy       -0.00121       -0.00000        0.00000

         POLARIZABILITY TENSOR (atomic units):
         xx,yy,zz        8.35707        6.85898        5.33502
         xy,xz,yz       -0.00000       -0.00000       -0.00000
         yx,zx,zy       -0.00000       -0.00000        0.00001
         POLARIZABILITY TENSOR (Angstrom^3):
         xx,yy,zz        1.23839        1.01640        0.79057
         xy,xz,yz       -0.00000       -0.00000       -0.00000
         yx,zx,zy       -0.00000       -0.00000        0.00000

         POLARIZABILITY TENSOR (atomic units):
         xx,yy,zz        8.36486        6.87188        5.33606
         xy,xz,yz       -0.00000       -0.00000       -0.00252
         yx,zx,zy       -0.00000       -0.00000       -0.00218
         POLARIZABILITY TENSOR (Angstrom^3):
         xx,yy,zz        1.23954        1.01831        0.79072
         xy,xz,yz       -0.00000       -0.00000       -0.00037
         yx,zx,zy       -0.00000       -0.00000       -0.00032

         POLARIZABILITY TENSOR (atomic units):
         xx,yy,zz        8.37402        6.87388        5.33593
         xy,xz,yz        0.00549       -0.00000       -0.00000
         yx,zx,zy        0.00410       -0.00000        0.00001
         POLARIZABILITY TENSOR (Angstrom^3):
         xx,yy,zz        1.24090        1.01860        0.79070
         xy,xz,yz        0.00081       -0.00000       -0.00000
         yx,zx,zy        0.00061       -0.00000        0.00000

         POLARIZABILITY TENSOR (atomic units):
         xx,yy,zz        8.36880        6.87824        5.33713
         xy,xz,yz        0.00520       -0.00000       -0.00000
         yx,zx,zy        0.00428       -0.00000        0.00001
         POLARIZABILITY TENSOR (Angstrom^3):
         xx,yy,zz        1.24013        1.01925        0.79088
         xy,xz,yz        0.00077       -0.00000       -0.00000
         yx,zx,zy        0.00063       -0.00000        0.00000

         POLARIZABILITY TENSOR (atomic units):
         xx,yy,zz        8.36486        6.87188        5.33605
         xy,xz,yz        0.00000        0.00200        0.00127
         yx,zx,zy        0.00000        0.00178        0.00114
         POLARIZABILITY TENSOR (Angstrom^3):
         xx,yy,zz        1.23954        1.01831        0.79072
         xy,xz,yz        0.00000        0.00030        0.00019
         yx,zx,zy        0.00000        0.00026        0.00017

         POLARIZABILITY TENSOR (atomic units):
         xx,yy,zz        8.35604        6.86969        5.33728
         xy,xz,yz        0.00548       -0.00000       -0.00000
         yx,zx,zy        0.00410       -0.00000        0.00001
         POLARIZABILITY TENSOR (Angstrom^3):
         xx,yy,zz        1.23824        1.01798        0.79090
         xy,xz,yz        0.00081       -0.00000       -0.00000
         yx,zx,zy        0.00061       -0.00000        0.00000

         POLARIZABILITY TENSOR (atomic units):
         xx,yy,zz        8.36880        6.87833        5.33656
         xy,xz,yz       -0.00515       -0.00000       -0.00000
         yx,zx,zy       -0.00428       -0.00000        0.00001
         POLARIZABILITY TENSOR (Angstrom^3):
         xx,yy,zz        1.24013        1.01926        0.79080
         xy,xz,yz       -0.00076       -0.00000       -0.00000
         yx,zx,zy       -0.00063       -0.00000        0.00000

         POLARIZABILITY TENSOR (atomic units):
         xx,yy,zz        8.36486        6.87188        5.33605
         xy,xz,yz       -0.00000       -0.00200        0.00127
         yx,zx,zy       -0.00000       -0.00178        0.00114
         POLARIZABILITY TENSOR (Angstrom^3):
         xx,yy,zz        1.23954        1.01831        0.79072
         xy,xz,yz       -0.00000       -0.00030        0.00019
         yx,zx,zy       -0.00000       -0.00026        0.00017

         POLARIZABILITY TENSOR (atomic units):
         xx,yy,zz        8.36517        6.87178        5.33660
         xy,xz,yz        0.00942       -0.00000       -0.00000
         yx,zx,zy        0.00818       -0.00000        0.00001
         POLARIZABILITY TENSOR (Angstrom^3):
         xx,yy,zz        1.23959        1.01829        0.79080
         xy,xz,yz        0.00140       -0.00000       -0.00000
         yx,zx,zy        0.00121       -0.00000        0.00000

         POLARIZABILITY TENSOR (atomic units):
         xx,yy,zz        8.37264        6.88479        5.33705
         xy,xz,yz       -0.00000       -0.00000       -0.00000
         yx,zx,zy       -0.00000       -0.00000        0.00001
         POLARIZABILITY TENSOR (Angstrom^3):
         xx,yy,zz        1.24070        1.02022        0.79087
         xy,xz,yz       -0.00000       -0.00000       -0.00000
         yx,zx,zy       -0.00000       -0.00000        0.00000

         POLARIZABILITY TENSOR (atomic units):
         xx,yy,zz        8.36486        6.87188        5.33606
         xy,xz,yz       -0.00000       -0.00000        0.00252
         yx,zx,zy       -0.00000       -0.00000        0.00218
         POLARIZABILITY TENSOR (Angstrom^3):
         xx,yy,zz        1.23954        1.01831        0.79072
         xy,xz,yz       -0.00000       -0.00000        0.00037
         yx,zx,zy       -0.00000       -0.00000        0.00032

         POLARIZABILITY TENSOR (atomic units):
         xx,yy,zz        8.35604        6.86978        5.33672
         xy,xz,yz       -0.00544       -0.00000       -0.00000
         yx,zx,zy       -0.00410       -0.00000        0.00001
         POLARIZABILITY TENSOR (Angstrom^3):
         xx,yy,zz        1.23824        1.01800        0.79082
         xy,xz,yz       -0.00081       -0.00000       -0.00000
         yx,zx,zy       -0.00061       -0.00000        0.00000

         POLARIZABILITY TENSOR (atomic units):
         xx,yy,zz        8.36100        6.86543        5.33552
         xy,xz,yz       -0.00514       -0.00000       -0.00000
         yx,zx,zy       -0.00427       -0.00000        0.00001
         POLARIZABILITY TENSOR (Angstrom^3):
         xx,yy,zz        1.23897        1.01735        0.79064
         xy,xz,yz       -0.00076       -0.00000       -0.00000
         yx,zx,zy       -0.00063       -0.00000        0.00000

         POLARIZABILITY TENSOR (atomic units):
         xx,yy,zz        8.36486        6.87188        5.33605
         xy,xz,yz        0.00000       -0.00200       -0.00128
         yx,zx,zy        0.00000       -0.00178       -0.00114
         POLARIZABILITY TENSOR (Angstrom^3):
         xx,yy,zz        1.23954        1.01831        0.79072
         xy,xz,yz        0.00000       -0.00030       -0.00019
         yx,zx,zy        0.00000       -0.00026       -0.00017

         POLARIZABILITY TENSOR (atomic units):
         xx,yy,zz        8.37402        6.87397        5.33535
         xy,xz,yz       -0.00545       -0.00000       -0.00000
         yx,zx,zy       -0.00410       -0.00000        0.00001
         POLARIZABILITY TENSOR (Angstrom^3):
         xx,yy,zz        1.24090        1.01862        0.79062
         xy,xz,yz       -0.00081       -0.00000       -0.00000
         yx,zx,zy       -0.00061       -0.00000        0.00000

